Season,Player,Team,RAPM,O-RAPM,D-RAPM
2023,Paige Powell,Winthrop Eagles,-1.328223164694086,-0.48060019628021905,-0.8476229684138671
2023,Amelia Sandie,Nicholls Colonels,-1.3314525317946146,-0.60237524462943,-0.7290772871651845
2023,Jasmine Barnes,Hartford Hawks,-1.3509097747732262,-0.25129666005325846,-1.0996131147199677
2023,Journey Tyler,Brevard College Tornados,-1.3518164860579858,-0.8058164012387383,-0.5460000848192476
2023,Lexi Shepard,Brevard College Tornados,-1.3518518465059985,-0.8058380642839191,-0.5460137822220794
2023,Calli Wells,Brevard College Tornados,-1.3518886875192984,-0.8058605263949191,-0.5460281611243792
2023,Olivia Miller,Brevard College Tornados,-1.351904630653555,-0.8058739687475086,-0.5460306619060463
2023,Makenna Parkins,Brevard College Tornados,-1.3519270055556332,-0.8058837826708357,-0.5460432228847975
2023,Tamia Ugass,Kansas City Roos,-1.3524902095109717,-0.5367904408449798,-0.8156997686659917
2023,Alona Washington,LSU Shreveport Lady Pilots,-1.3586118988807927,-0.5160583648393685,-0.8425535340414241
2023,Alexis Brown,LSU Shreveport Lady Pilots,-1.358694151584563,-0.5161070545714816,-0.8425870970130814
2023,Destanee Roblow,LSU Shreveport Lady Pilots,-1.3589006940034336,-0.5162237104094354,-0.8426769835939981
2023,Kiara Collins,LSU Shreveport Lady Pilots,-1.358944208707983,-0.5162293974399637,-0.8427148112680194
2023,Tahjea Smith,LSU Shreveport Lady Pilots,-1.3591087201360121,-0.5163408820525148,-0.8427678380834972
2023,Amaya Burch,Detroit Mercy Titans,-1.3635411496130683,-0.14657967762770174,-1.2169614719853665
2023,Nile Miller,Howard Bison,-1.3651919596162352,-0.7400841479132195,-0.6251078117030158
2023,Ashtyn Arnold,Bellevue University Bulldogs,-1.3693146062007266,-0.6283950890921938,-0.7409195171085329
2023,Faith Ross,Bellevue University Bulldogs,-1.3695469400401696,-0.6285324175773744,-0.7410145224627952
2023,Miranda Hennings,Bellevue University Bulldogs,-1.3697309760702203,-0.6286404832917576,-0.7410904927784628
2023,Asha Scott,Bellevue University Bulldogs,-1.3703041475304558,-0.6289217970097406,-0.7413823505207152
2023,Ana Cabanas Llorens,Detroit Mercy Titans,-1.3707630478989599,-0.1867348810614841,-1.1840281668374757
2023,Amaris Mills,Saint Peter's Peacocks,-1.3724961509275486,-0.7437429076183618,-0.6287532433091868
2023,Sam Miller,St. Francis (PA) Red Flash,-1.3734298963218974,-0.8092293132073715,-0.5642005831145258
2023,Zora Fray-Chinn,South Carolina Upstate Spartans,-1.3751167161423674,-0.17447524355667265,-1.2006414725856949
2023,Shyan Mwai,Long Island University Sharks,-1.3775116671725074,-1.0715100667585806,-0.3060016004139267
2023,Sarah Shepard,Midland University Warriors,-1.3810167885904188,-0.31632600381817205,-1.0646907847722467
2023,Lexi Kraft,Midland University Warriors,-1.3810213639590438,-0.31631878769304395,-1.0647025762659998
2023,Kennedy Darner,Midland University Warriors,-1.3810722966606939,-0.31634847342710504,-1.0647238232335887
2023,Sam Shepard,Midland University Warriors,-1.3811238492798166,-0.3163784381836858,-1.0647454110961307
2023,Erin Prusa,Midland University Warriors,-1.3811759669524286,-0.31640864697247767,-1.064767319979951
2023,Derrica McCall,Shorter Hawks,-1.3851697888549888,-0.5695216472836534,-0.81564814157133525
2023,Katelyn Richards,Shorter Hawks,-1.3851878626858314,-0.5695279107341212,-0.81565995195171
2023,Rhyan Wilsomn,Shorter Hawks,-1.3852096504078317,-0.56954707863344,-0.8156625717743916
2023,Kenley Woods,Shorter Hawks,-1.3852884826682992,-0.5695762799453714,-0.8157122027229278
2023,Ansley Barge,Shorter Hawks,-1.3853577941667239,-0.5696099239071725,-0.8157478702595515
2023,Ewa Kielar,Western Carolina Catamounts,-1.3861323555178848,-0.8691187306952012,-0.5170136248226838
2023,Lindsey Peyton,Brescia Bearcats,-1.389177225958917,-0.7871981669761934,-0.6019790589827235
2023,Madelyn Lyon,Brescia Bearcats,-1.3895234537626586,-0.7873633708822608,-0.6021600828803977
2023,Kayla James,UNT Dallas Trailblazers,-1.3902450155957045,-0.8240877628590838,-0.5661572527366208
2023,Zyunn Cormier,UNT Dallas Trailblazers,-1.390373942398222,-0.8241261423031015,-0.5662478000951204
2023,Zaria Harleaux,Mississippi Valley State Devilettes,-1.393342561970105,-0.5205901375177137,-0.8727524244523913
2023,Lauryn Manns,Academy Of Art University Urban Knights,-1.3961363725838467,-0.8038341325064536,-0.5923022400773931
2023,Ashana Hinds,Academy Of Art University Urban Knights,-1.3961574023152992,-0.8038458740263739,-0.5923115282889253
2023,Christy Ojide,Academy Of Art University Urban Knights,-1.396214119842282,-0.8038736379424413,-0.5923404818998407
2023,Kyla Wandick,Academy Of Art University Urban Knights,-1.3962415996959443,-0.8038922410436253,-0.5923493586523189
2023,Jadence Clifton,Academy Of Art University Urban Knights,-1.3963260854055508,-0.8039386855061434,-0.5923873998994073
2023,Emma Parrish,Trinity Baptist Eagles,-1.4013546896241644,-0.7808982500353472,-0.6204564395888171
2023,Oceane Tabbak,Trinity Baptist Eagles,-1.4014202669235738,-0.7809355028700304,-0.6204847640535434
2023,Rachel Criscitello,Trinity Baptist Eagles,-1.4014237406738546,-0.7809388623891217,-0.6204848782847329
2023,Katia Bogun,Trinity Baptist Eagles,-1.4014892939253738,-0.7809762786693535,-0.6205130152560203
2023,Triniti Snead,Trinity Baptist Eagles,-1.4015463712191707,-0.7809976591749949,-0.6205487120441759
2023,Tara Stauffacher,Northern Illinois Huskies,-1.4111233356812858,-0.29610604559369635,-1.1150172900875894
2023,Teeonna Barkley,Ark Baptist Buffaloes,-1.417066360850209,-0.7904363470113625,-0.6266300138388464
2023,Jessica Nerestant,Ark Baptist Buffaloes,-1.4172662891367958,-0.790547096644239,-0.6267191924925568
